STATION,STATION_NAME,LATITUDE,LONGITUDE
40029,"ADIN RANGER STATION",41.19389,-120.94472
40136,ALPINE,32.83889,-116.77528
40161,ALTURAS,41.49306,-120.55278
40192,ANAHEIM,33.86472,-117.8425
40212,"ANGWIN PAC UNION COL",38.57306,-122.44056
40232,"ANTIOCH PUMP PLANT 3",37.98556,-121.74583
40343,"ASH MOUNTAIN",36.48333,-118.83333
40379,"AUBERRY 2 NW",37.09194,-119.51278
40383,AUBURN,38.90722,-121.08389
40436,BAKER,35.26583,-116.07361
40442,"BAKERSFIELD MEADOWS FIELD AIRPORT",35.43444,-119.05417
40444,"BAKERSFIELD 5 NW",35.41861,-119.05083
40449,"BALCH POWER HOUSE",36.91667,-119.08333
40521,BARSTOW,34.88778,-117.02278
40609,"BEAUMONT NUMBER 2",33.92972,-116.965
40673,"BEN LOMOND NUMBER 4",37.08722,-122.08056
40693,BERKELEY,37.87444,-122.25889
40738,"BIG BAR 4 E",40.74028,-123.2075
40741,"BIG BEAR LAKE",34.24694,-116.88778
40790,"BIG SUR STATION",36.24722,-121.78028
40822,"BISHOP AIRPORT",37.37111,-118.35806
40897,"BLUE CANYON AIRPORT",39.29167,-120.70833
40924,BLYTHE,33.61667,-114.6
40927,"BLYTHE AIRPORT",33.61361,-114.71444
40931,BOCA,39.38861,-120.09361
40943,BODIE,38.21194,-119.01417
40983,"BORREGO DESERT PARK",33.2559,-116.4036
41018,"BOWMAN DAM",39.45,-120.65
41072,BRIDGEPORT,38.2575,-119.22861
41194,"BURBANK VALLEY PUMP",34.18333,-118.35
41214,BURNEY,40.88639,-121.65444
41244,BUTTONWILLOW,35.40472,-119.47306
41253,"CACHUMA LAKE",34.5825,-119.98083
41277,"CALAVERAS BIG TREES",38.28333,-120.31667
41312,CALISTOGA,38.57722,-122.57222
41316,CALLAHAN,41.31111,-122.80444
41424,CAMPO,32.62333,-116.47278
41426,"CAMPO ASOS",32.6261,-116.4681
